College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
DPG Institute of Technology and Management,CIVIL ENGINEERING,Gurgaon,Haryana,"Maharshi Dayanand University, Rohtak",275111.1111111111,0,,Private,No,No,www.dpgitm.com
Global Research Institute of Management and Technology,CIVIL ENGINEERING,Radaur,Haryana,"Kurukshetra University, Kurukshetra",338700.0,0,,Private,No,No,"www.grimtradaur
 .ac.i"
Panipat Institute of Engineering and Technology,CIVIL ENGINEERING,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
Ganpati Institute of Technology and Management,CIVIL ENGINEERING,Bilaspur,Haryana,"Kurukshetra University, Kurukshetra",193650.0,0,,Private,No,No,"www.ganpatiinsti
 tuti"
Mahabir Engineering College,CIVIL ENGINEERING,Ambala,Haryana,"Kurukshetra University, Kurukshetra",173333.33333333334,0,,Private,No,No,"www.mahabiredu
 .com"
The Technological Institute of Textile and Sciences,COMPUTER ENGINEERING,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
DPG Institute of Technology and Management,COMPUTER SCIENCE & ENGINEERING,Gurgaon,Haryana,"Maharshi Dayanand University, Rohtak",275111.1111111111,0,,Private,No,No,www.dpgitm.com
Mahabir Engineering College,COMPUTER SCIENCE & ENGINEERING,Ambala,Haryana,"Kurukshetra University, Kurukshetra",173333.33333333334,0,,Private,No,No,"www.mahabiredu
 .com"
Technology Education and Research Institute,COMPUTER SCIENCE AND ENGINEERING,Kurukshetra,Haryana,"Kurukshetra University, Kurukshetra",303500.0,0,,Private,No,No,www.terii.in
Ganpati Institute of Technology and Management,COMPUTER SCIENCE AND ENGINEERING,Bilaspur,Haryana,"Kurukshetra University, Kurukshetra",193650.0,0,,Private,No,No,"www.ganpatiinsti
 tuti"
Ganga Institute of Technology and Management,COMPUTER SCIENCE AND ENGINEERING,Jhajjar,Haryana,"Maharshi Dayanand University, Rohtak",169374.1935483871,0,,Private,No,No,www.gangainstit ute.c
Global Research Institute of Management and Technology,COMPUTER SCIENCE AND ENGINEERING,Radaur,Haryana,"Kurukshetra University, Kurukshetra",338700.0,0,,Private,No,No,"www.grimtradaur
 .ac.i"
Guru Jambheshwar University of Science and Technology,COMPUTER SCIENCE AND ENGINEERING,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
Panipat Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
Technology Education and Research Institute,ELECTRICAL AND ELECTRONICS ENGINEERING,Kurukshetra,Haryana,"Kurukshetra University, Kurukshetra",303500.0,0,,Private,No,No,www.terii.in
Mahabir Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Ambala,Haryana,"Kurukshetra University, Kurukshetra",173333.33333333334,0,,Private,No,No,"www.mahabiredu
 .com"
Global Research Institute of Management and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Radaur,Haryana,"Kurukshetra University, Kurukshetra",338700.0,0,,Private,No,No,"www.grimtradaur
 .ac.i"
Guru Jambheshwar University of Science and Technology,ELECTRICAL ENGINEERING,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
Ganpati Institute of Technology and Management,ELECTRICAL ENGINEERING,Bilaspur,Haryana,"Kurukshetra University, Kurukshetra",193650.0,0,,Private,No,No,"www.ganpatiinsti
 tuti"
Ganga Institute of Technology and Management,ELECTRICAL ENGINEERING,Jhajjar,Haryana,"Maharshi Dayanand University, Rohtak",169374.1935483871,0,,Private,No,No,www.gangainstit ute.c
DPG Institute of Technology and Management,ELECTRICAL ENGINEERING,Gurgaon,Haryana,"Maharshi Dayanand University, Rohtak",275111.1111111111,0,,Private,No,No,www.dpgitm.com
The Technological Institute of Textile and Sciences,ELECTRONICS & COMMUNICATION ENGG,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
Panipat Institute of Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
Guru Jambheshwar University of Science and Technology,ELECTRONICS & COMMUNICATION ENGG,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
Ganpati Institute of Technology and Management,ELECTRONICS & COMMUNICATION ENGG,Bilaspur,Haryana,"Kurukshetra University, Kurukshetra",193650.0,0,,Private,No,No,"www.ganpatiinsti
 tuti"
Ganga Institute of Technology and Management,ELECTRONICS & COMMUNICATION ENGG,Jhajjar,Haryana,"Maharshi Dayanand University, Rohtak",169374.1935483871,0,,Private,No,No,www.gangainstit ute.c
Mahabir Engineering College,ELECTRONICS & COMMUNICATION ENGG,Ambala,Haryana,"Kurukshetra University, Kurukshetra",173333.33333333334,0,,Private,No,No,"www.mahabiredu
 .com"
Global Research Institute of Management and Technology,ELECTRONICS & COMMUNICATION ENGG,Radaur,Haryana,"Kurukshetra University, Kurukshetra",338700.0,0,,Private,No,No,"www.grimtradaur
 .ac.i"
DPG Institute of Technology and Management,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Gurgaon,Haryana,"Maharshi Dayanand University, Rohtak",275111.1111111111,0,,Private,No,No,www.dpgitm.com
The Technological Institute of Textile and Sciences,FASHION AND APPAREL ENGINEERING,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
Ganga Institute of Technology and Management,FIRE TECHNOLOGY AND SAFETY,Jhajjar,Haryana,"Maharshi Dayanand University, Rohtak",169374.1935483871,0,,Private,No,No,www.gangainstit ute.c
Guru Jambheshwar University of Science and Technology,FOOD TECHNOLOGY,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
The Technological Institute of Textile and Sciences,INFORMATION TECHNOLOGY,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
Panipat Institute of Engineering and Technology,INFORMATION TECHNOLOGY,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
Guru Jambheshwar University of Science and Technology,INFORMATION TECHNOLOGY,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
The Technological Institute of Textile and Sciences,MECHANICAL ENGINEERING,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
Technology Education and Research Institute,MECHANICAL ENGINEERING,Kurukshetra,Haryana,"Kurukshetra University, Kurukshetra",303500.0,0,,Private,No,No,www.terii.in
Guru Jambheshwar University of Science and Technology,MECHANICAL ENGINEERING,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
Global Research Institute of Management and Technology,MECHANICAL ENGINEERING,Radaur,Haryana,"Kurukshetra University, Kurukshetra",338700.0,0,,Private,No,No,"www.grimtradaur
 .ac.i"
Ganpati Institute of Technology and Management,MECHANICAL ENGINEERING,Bilaspur,Haryana,"Kurukshetra University, Kurukshetra",193650.0,0,,Private,No,No,"www.ganpatiinsti
 tuti"
Ganga Institute of Technology and Management,MECHANICAL ENGINEERING,Jhajjar,Haryana,"Maharshi Dayanand University, Rohtak",169374.1935483871,0,,Private,No,No,www.gangainstit ute.c
DPG Institute of Technology and Management,MECHANICAL ENGINEERING,Gurgaon,Haryana,"Maharshi Dayanand University, Rohtak",275111.1111111111,0,,Private,No,No,www.dpgitm.com
Panipat Institute of Engineering and Technology,MECHANICAL ENGINEERING,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
Mahabir Engineering College,MECHANICAL ENGINEERING,Ambala,Haryana,"Kurukshetra University, Kurukshetra",173333.33333333334,0,,Private,No,No,"www.mahabiredu
 .com"
Guru Jambheshwar University of Science and Technology,PACKAGING TECHNOLOGY,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
Guru Jambheshwar University of Science and Technology,PRINTING TECHNOLOGY,Hisar,Haryana,Not Available,122069.60784313726,3.28,,Government,No,Not Available,www.gjust.ac.in
The Technological Institute of Textile and Sciences,TEXTILE CHEMISTRY,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
Panipat Institute of Engineering and Technology,TEXTILE ENGINEERING,Bapura,Haryana,"Kurukshetra University, Kurukshetra",261250.0,0,,Private,No,No,www.piet.co.in
The Technological Institute of Textile and Sciences,TEXTILE TECHNOLOGY,Bhiwani,Haryana,"Ch Bansi Lal University, Bhiwani",333777.7777777777,0,,Private,No,No,"www.titsbhiwani.
 ac.i"
ACS College of Engineering,AERONAUTICAL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
ACS College of Engineering,AEROSPACE ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
ACS College of Engineering,AUTOMOBILE ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
ACS College of Engineering,BIOMEDICAL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
ACS College of Engineering,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
Ghousia College of Engineering,CIVIL ENGINEERING,Ramanagara,Karnataka,"Visvesvaraya Technological University, Belagavi",282222.22222222225,0,,Private,Not Available,Not Available,-
ACS College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
Ghousia College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Ramanagara,Karnataka,"Visvesvaraya Technological University, Belagavi",282222.22222222225,0,,Private,Not Available,Not Available,-
Ghousia College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Ramanagara,Karnataka,"Visvesvaraya Technological University, Belagavi",282222.22222222225,0,,Private,Not Available,Not Available,-
ACS College of Engineering,ELECTRONICS & COMMUNICATION ENGG,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
Ghousia College of Engineering,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Ramanagara,Karnataka,"Visvesvaraya Technological University, Belagavi",282222.22222222225,0,,Private,Not Available,Not Available,-
ACS College of Engineering,MECHANICAL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",151200.0,3.1,90.0,Private,No,No,-
Ghousia College of Engineering,MECHANICAL ENGINEERING,Ramanagara,Karnataka,"Visvesvaraya Technological University, Belagavi",282222.22222222225,0,,Private,Not Available,Not Available,-
Nitte Meenakshi Institute of Technology,AERONAUTICAL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",145075.0,3.02,101.0,Private - Autonomous,No,No,www.nmit.ac.in
Mangalore Institute of Technology and Engineering,AERONAUTICAL ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",342857.14285714284,0,,Private,No,No,www.mite.ac.in
CT Institute of Technology,AERONAUTICAL ENGINEERING,Jalandhar,Punjab,"IK Gujral Punjab Technical University, Jalandhar",359000.0,0,,Private,No,No,www.sjcit.ac.in
The Oxford College of Engineering,AUTOMOBILE ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",312909.0909090909,2.35,,Private,No,Not Available,www.theoxford.e du
BVV Sangha's Basaveshwar Engineering College,AUTOMOBILE ENGINEERING,Bagalkot,Karnataka,"Visvesvaraya Technological University, Belagavi",210526.31578947368,3.34,,Government,No,Not Available,www.becbgk.edu
The Oxford College of Engineering,BIOTECHNOLOGY,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",312909.0909090909,2.35,,Private,No,Not Available,www.theoxford.e du
BVV Sangha's Basaveshwar Engineering College,BIOTECHNOLOGY,Bagalkot,Karnataka,"Visvesvaraya Technological University, Belagavi",210526.31578947368,3.34,,Government,No,Not Available,www.becbgk.edu
GM Institute of Technology,BIOTECHNOLOGY,Davanagere,Karnataka,"Visvesvaraya Technological University, Belagavi",204555.5555555556,0,,Private,No,No,www.gmit.ac.in
Sapthagiri College of Engineering,BIOTECHNOLOGY,Myadarahalli,Karnataka,"Visvesvaraya Technological University, Belagavi",164888.88888888888,0,,Private,No,No,www.sapthagiri.e du.i
Mahendra College of Engineering,BIOTECHNOLOGY,Minnampalli,Tamil Nadu,"Anna University, Chennai",145833.33333333334,0,,Government,No,Yes,www.sjce.ac.in
Sir M Visvesvaraya Institute of Technology,BIOTECHNOLOGY,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",236714.2857142857,2.87,,Private,No,No,www.sirmvit.edu
AMC Engineering College,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",345294.1176470588,2.77,,Private,No,No,www.amcec.edu.i n
Jyothy Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",238000.0,0,,Private,No,No,www.jyothyit.ac.i n
GM Institute of Technology,CIVIL ENGINEERING,Davanagere,Karnataka,"Visvesvaraya Technological University, Belagavi",204555.5555555556,0,,Private,No,No,www.gmit.ac.in
Sai Vidya Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",362222.2222222223,0,,Private,No,No,www.saividya.ac.i n
Sapthagiri College of Engineering,CIVIL ENGINEERING,Myadarahalli,Karnataka,"Visvesvaraya Technological University, Belagavi",164888.88888888888,0,,Private,No,No,www.sapthagiri.e du.i
KS School of Engineering and Management,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",127888.88888888888,0,,Private,No,No,www.kssem.edu.i n
Channabasaveshwara Institute of Technology,CIVIL ENGINEERING,Tumkur,Karnataka,"Visvesvaraya Technological University, Belagavi",107400.0,0,,Private,No,No,www.cittumkur.o rg
PES Institute of Technology and Management,CIVIL ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",348571.4285714286,0,,Private,No,No,www.pestrust.or g/pes
KLE Institute of Technology,CIVIL ENGINEERING,Hubli,Karnataka,"Visvesvaraya Technological University, Belagavi",220125.0,0,,Private,No,No,www.kleit.ac.in
Mahendra College of Engineering,CIVIL ENGINEERING,Minnampalli,Tamil Nadu,"Anna University, Chennai",145833.33333333334,0,,Government,No,Yes,www.sjce.ac.in
Sir M Visvesvaraya Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",236714.2857142857,2.87,,Private,No,No,www.sirmvit.edu
Jawaharlal Nehru National College of Engineering,CIVIL ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",168666.66666666666,0,,Private,No,No,www.jnnce.ac.in
The Oxford College of Engineering,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",312909.0909090909,2.35,,Private,No,Not Available,www.theoxford.e du
BVV Sangha's Basaveshwar Engineering College,CIVIL ENGINEERING,Bagalkot,Karnataka,"Visvesvaraya Technological University, Belagavi",210526.31578947368,3.34,,Government,No,Not Available,www.becbgk.edu
Alva's Institute of Engineering and Technology,CIVIL ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",240571.42857142855,0,,Private,No,No,www.aiet.org.in
Global Academy of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",140400.0,3.09,,Private,No,No,www.gat.ac.in
Nagarjuna College of Engineering and Technology,CIVIL ENGINEERING,Muduguriki,Karnataka,"Visvesvaraya Technological University, Belagavi",213636.36363636365,0,,Private - Autonomous,No,No,www.nagarjunae ducati
Nitte Meenakshi Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",145075.0,3.02,101.0,Private - Autonomous,No,No,www.nmit.ac.in
Sri Venkateshwara College of Engineering,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",242818.18181818185,0,,Private,No,Not Available,www.svcengg.co m
Sahyadri College of Engineering and Management,CIVIL ENGINEERING,Mangaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",174900.00000000003,0,,Private,No,No,www.sahyadri.ed u.in
Mangalore Institute of Technology and Engineering,CIVIL ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",342857.14285714284,0,,Private,No,No,www.mite.ac.in
CT Institute of Technology,CIVIL ENGINEERING,Jalandhar,Punjab,"IK Gujral Punjab Technical University, Jalandhar",359000.0,0,,Private,No,No,www.sjcit.ac.in
Ballari Institute of Technology and Management,CIVIL ENGINEERING,Ballari,Karnataka,"Visvesvaraya Technological University, Belagavi",325000.0,2.66,,Private,No,No,www.bitm.edu.in
East West Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",136500.0,0,,Private,No,No,www.ewit.edu
Bangalore Institute of Technology,CIVIL ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",178800.0,0,,Private,No,No,www.bit- bangalore.or
GM Institute of Technology,COMPUTER SCEINCE & ENGINEERING,Davanagere,Karnataka,"Visvesvaraya Technological University, Belagavi",204555.5555555556,0,,Private,No,No,www.gmit.ac.in
BVV Sangha's Basaveshwar Engineering College,COMPUTER SCEINCE & ENGINEERING,Bagalkot,Karnataka,"Visvesvaraya Technological University, Belagavi",210526.31578947368,3.34,,Government,No,Not Available,www.becbgk.edu
Canara Engineering College,COMPUTER SCEINCE & ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",319166.6666666667,0,,Private,No,Not Available,www.canaraengi neerin
Sapthagiri College of Engineering,COMPUTER SCIENCE & ENGINEERING,Myadarahalli,Karnataka,"Visvesvaraya Technological University, Belagavi",164888.88888888888,0,,Private,No,No,www.sapthagiri.e du.i
CT Institute of Technology,COMPUTER SCIENCE & ENGINEERING,Jalandhar,Punjab,"IK Gujral Punjab Technical University, Jalandhar",359000.0,0,,Private,No,No,www.sjcit.ac.in
Sahyadri College of Engineering and Management,COMPUTER SCIENCE & ENGINEERING,Mangaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",174900.00000000003,0,,Private,No,No,www.sahyadri.ed u.in
Bangalore Institute of Technology,COMPUTER SCIENCE & ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",178800.0,0,,Private,No,No,www.bit- bangalore.or
Jyothy Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",238000.0,0,,Private,No,No,www.jyothyit.ac.i n
Sai Vidya Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",362222.2222222223,0,,Private,No,No,www.saividya.ac.i n
KLE Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Hubli,Karnataka,"Visvesvaraya Technological University, Belagavi",220125.0,0,,Private,No,No,www.kleit.ac.in
Amrita School of Engineering,COMPUTER SCIENCE AND ENGINEERING,Coimbatore,Tamil Nadu,"Amrita Vishwa Vidyapeetham, Coimbatore",649857.1428571428,0,,Private,No,No,www.amrita.edu
Jawaharlal Nehru National College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",168666.66666666666,0,,Private,No,No,www.jnnce.ac.in
The Oxford College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",312909.0909090909,2.35,,Private,No,Not Available,www.theoxford.e du
Alva's Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",240571.42857142855,0,,Private,No,No,www.aiet.org.in
BNM Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",247555.5555555556,3.1,,Private,No,No,www.bnmit.org
Nagarjuna College of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Muduguriki,Karnataka,"Visvesvaraya Technological University, Belagavi",213636.36363636365,0,,Private - Autonomous,No,No,www.nagarjunae ducati
KS School of Engineering and Management,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",127888.88888888888,0,,Private,No,No,www.kssem.edu.i n
KS Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",284571.4285714286,0,,Private,No,No,www.ksit.ac.in
Channabasaveshwara Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Tumkur,Karnataka,"Visvesvaraya Technological University, Belagavi",107400.0,0,,Private,No,No,www.cittumkur.o rg
Mangalore Institute of Technology and Engineering,COMPUTER SCIENCE AND ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",342857.14285714284,0,,Private,No,No,www.mite.ac.in
PES Institute of Technology and Management,COMPUTER SCIENCE AND ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",348571.4285714286,0,,Private,No,No,www.pestrust.or g/pes
Mahendra College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Minnampalli,Tamil Nadu,"Anna University, Chennai",145833.33333333334,0,,Government,No,Yes,www.sjce.ac.in
Sir M Visvesvaraya Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",236714.2857142857,2.87,,Private,No,No,www.sirmvit.edu
East West Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",136500.0,0,,Private,No,No,www.ewit.edu
Global Academy of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",140400.0,3.09,,Private,No,No,www.gat.ac.in
Nitte Meenakshi Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",145075.0,3.02,101.0,Private - Autonomous,No,No,www.nmit.ac.in
Sri Venkateshwara College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",242818.18181818185,0,,Private,No,Not Available,www.svcengg.co m
Bangalore Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",178800.0,0,,Private,No,No,www.bit- bangalore.or
Ballari Institute of Technology and Management,COMPUTER SCIENCE AND ENGINEERING,Ballari,Karnataka,"Visvesvaraya Technological University, Belagavi",325000.0,2.66,,Private,No,No,www.bitm.edu.in
AMC Engineering College,COMPUTER SCIENCE AND ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",345294.1176470588,2.77,,Private,No,No,www.amcec.edu.i n
Mahendra College of Engineering,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,Minnampalli,Tamil Nadu,"Anna University, Chennai",145833.33333333334,0,,Government,No,Yes,www.sjce.ac.in
Amrita School of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Coimbatore,Tamil Nadu,"Amrita Vishwa Vidyapeetham, Coimbatore",649857.1428571428,0,,Private,No,No,www.amrita.edu
Jawaharlal Nehru National College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",168666.66666666666,0,,Private,No,No,www.jnnce.ac.in
AMC Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",345294.1176470588,2.77,,Private,No,No,www.amcec.edu.i n
East West Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",136500.0,0,,Private,No,No,www.ewit.edu
BVV Sangha's Basaveshwar Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Bagalkot,Karnataka,"Visvesvaraya Technological University, Belagavi",210526.31578947368,3.34,,Government,No,Not Available,www.becbgk.edu
Canara Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Mangalore,Karnataka,"Visvesvaraya Technological University, Belagavi",319166.6666666667,0,,Private,No,Not Available,www.canaraengi neerin
Sai Vidya Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",362222.2222222223,0,,Private,No,No,www.saividya.ac.i n
BNM Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",247555.5555555556,3.1,,Private,No,No,www.bnmit.org
Global Academy of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",140400.0,3.09,,Private,No,No,www.gat.ac.in
Nitte Meenakshi Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",145075.0,3.02,101.0,Private - Autonomous,No,No,www.nmit.ac.in
KS School of Engineering and Management,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",127888.88888888888,0,,Private,No,No,www.kssem.edu.i n
Channabasaveshwara Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Tumkur,Karnataka,"Visvesvaraya Technological University, Belagavi",107400.0,0,,Private,No,No,www.cittumkur.o rg
PES Institute of Technology and Management,ELECTRICAL AND ELECTRONICS ENGINEERING,Shivamogga,Karnataka,"Visvesvaraya Technological University, Belagavi",348571.4285714286,0,,Private,No,No,www.pestrust.or g/pes
Bangalore Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",178800.0,0,,Private,No,No,www.bit- bangalore.or
KLE Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Hubli,Karnataka,"Visvesvaraya Technological University, Belagavi",220125.0,0,,Private,No,No,www.kleit.ac.in
Mahendra College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Minnampalli,Tamil Nadu,"Anna University, Chennai",145833.33333333334,0,,Government,No,Yes,www.sjce.ac.in
The Oxford College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Bengaluru,Karnataka,"Visvesvaraya Technological University, Belagavi",312909.0909090909,2.35,,Private,No,Not Available,www.theoxford.e du
Sapthagiri College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Myadarahalli,Karnataka,"Visvesvaraya Technological University, Belagavi",164888.88888888888,0,,Private,No,No,www.sapthagiri.e du.i
Ballari Institute of Technology and Management,ELECTRICAL AND ELECTRONICS ENGINEERING,Ballari,Karnataka,"Visvesvaraya Technological University, Belagavi",325000.0,2.66,,Private,No,No,www.bitm.edu.in
