College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
NRI Institute of Technology,COMPUTER SCIENCE & ENGINEERING,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0,,Private,No,No,www.nrigroupofc olleg
Geethanjali Institute of Science and Technology,COMPUTER SCIENCE AND ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0,,Private,No,No,www.gist.edu.in
Aditya College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in
RISE Krishna Sai Gandhi Group of Institutions,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0,,Private,No,No,www.risegroup.e du.in
RISE Krishna Sai Prakasam Group of Institutions,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0,,Private,No,No,www.risegroup.e du.in
Krishna Chaitanya Institute of Technology and Sciences,COMPUTER SCIENCE AND ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0,,Private,No,No,www.kits- anna.com
Srinivasa Ramanujan Institute of Technology,COMPUTER SCIENCE AND ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in
Ramachandra College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0,,Private,No,No,www.rcee.ac.in
Vindhya Institute of Technology and Science,COMPUTER SCIENCE AND ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0,,Private,No,No,www.bvcits.ac.in
Srinivasa Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0,,Private,No,No,www.sriniet.edu.i n
Ramireddy Subbarami Reddy Engineering College,COMPUTER SCIENCE AND ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0,,Private,No,No,www.rsrec.in
Gayatri Vidya Parishad College of Engineering for Women,COMPUTER SCIENCE AND ENGINEERING,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0,,Private,No,No,www.gvpcew.ac.i n
Chalapathi Institute of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0,,Private,No,No,"www.chalapathie
 ngg.a"
PACE Institute of Technology and Sciences,COMPUTER SCIENCE AND ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
PES College of Engineering,COMPUTER SCIENCE AND ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in"
Sri Venkateswara College of Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g
Vignan's Lara Institute of Technology and Science,COMPUTER SCIENCE AND ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0,,Private,No,No,www.vignanlara. org
Aditya Engineering College,COMPUTER SCIENCE AND ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0,,Private - Autonomous,No,No,www.aec.edu.in
Sri Vasavi Engineering College,COMPUTER SCIENCE AND ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac
Sagi Ramakrishnam Raju Engineering College,COMPUTER SCIENCE AND ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in
Geethanjali Institute of Science and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0,,Private,No,No,www.gist.edu.in
Aditya College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in
RISE Krishna Sai Prakasam Group of Institutions,ELECTRICAL AND ELECTRONICS ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0,,Private,No,No,www.risegroup.e du.in
Krishna Chaitanya Institute of Technology and Sciences,ELECTRICAL AND ELECTRONICS ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0,,Private,No,No,www.kits- anna.com
Sri Venkateswara College of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g
Srinivasa Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0,,Private,No,No,www.sriniet.edu.i n
Ramireddy Subbarami Reddy Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0,,Private,No,No,www.rsrec.in
Gayatri Vidya Parishad College of Engineering for Women,ELECTRICAL AND ELECTRONICS ENGINEERING,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0,,Private,No,No,www.gvpcew.ac.i n
NRI Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0,,Private,No,No,www.nrigroupofc olleg
Dhanekula Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0,,Private,No,No,www.diet.ac.in
Chalapathi Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0,,Private,No,No,"www.chalapathie
 ngg.a"
Sri Vasavi Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac
PACE Institute of Technology and Sciences,ELECTRICAL AND ELECTRONICS ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
Pragati Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n
Lendi Institute of Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Jonnada,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",192888.88888888888,3.02,,Private,No,No,www.lendi.org
Vishnu Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n
Srinivasa Ramanujan Institute of Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in
Ramachandra College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0,,Private,No,No,www.rcee.ac.in
Vindhya Institute of Technology and Science,ELECTRICAL AND ELECTRONICS ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0,,Private,No,No,www.bvcits.ac.in
Vignan's Lara Institute of Technology and Science,ELECTRICAL AND ELECTRONICS ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0,,Private,No,No,www.vignanlara. org
Aditya Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0,,Private - Autonomous,No,No,www.aec.edu.in
PES College of Engineering,ELECTRICAL AND ELECTRONICS ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in"
Sagi Ramakrishnam Raju Engineering College,ELECTRICAL AND ELECTRONICS ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in
