College ID,college name,Institute Region,State,District,Address,Year of Establishment,Institute Type,College Category,Website,University,NBA,NAAC,NIRF,Women Institute,Course
32146,VISHNU INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,West Godavari,"Vishnupur,Bhimavaram- 534202.W.G.Dist.Andhra Pradesh",2008,Private,Engineering,www.vishnu.edu.i n,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32209,RAMACHANDRA COLLEGE OF ENGINEERING,SOUTH,Andhra Pradesh,West Godavari,"Nh-5 Bypass Road,Vatluru (V), Eluru- 534007,West Godavari Dt.,Andhra Pradesh.",2008,Private,Engineering,www.rcee.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32223,BONAM VENKATACHALAMAYYA INSTITUTE OF TECHNOLOGY & SCIENCE,SOUTH,Andhra Pradesh,East Godavari,BatlapalemAmalapuram (Mandal)East Godavari DistrictAndhra Pradesh533221,2002,Private,Engineering,www.bvcits.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32449,VIGNAN'S LARA INSTITUTE OF TECHNOLOGY & SCIENCE,SOUTH,Andhra Pradesh,Guntur,"Vadlamudi,Chebrolu Mandal,Guntur District - 522 213.Andhra Pradesh,India.",2007,Private,Engineering,www.vignanlara. org,"Jawaharlal Nehru Technological University, Kakinada",No,No,88,No,CIVIL ENGINEERING
32643,SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLOGY,SOUTH,Andhra Pradesh,East Godavari,"Nh 214, Kakinada-Amalapuram Road,Cheyyeru Village,Katrenikona
 Mandal,Amalapuram-533222",2009,Private,Engineering,www.sriniet.edu.i n,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32689,RAMIREDDY SUBBARAMI REDDY ENGINEERING COLLEGE,SOUTH,Andhra Pradesh,Nellore,"N.H.5,Kadanuthala (Village),Bogole (Mandal),Sps Nellore (District),Pin - 524
 142",-,Private,Engineering,www.rsrec.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,CIVIL ENGINEERING
32711,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES,SOUTH,Andhra Pradesh,Vishakhapa tnam,"Yendada Village, Rushikonda,Visakhapatnam - 530 045",-,Private,Engineering,www.gvpcdpgc.e du.in/,"Andhra University, Visakhapatnam",No,No,-,No,CIVIL ENGINEERING
33213,"CHALAPATHI INSTITUTE OF ENGINEERING AND
 TECHNOLOGY",SOUTH,"Andhra
 Pradesh",Guntur,"Chalapathi Nagar, Lam, Guntur-522034,
 Andhra Pradesh",2007,Private,Engineering,"www.chalapathie
 ngg.a","Acharya Nagarjuna University,
 Guntur",No,No,-,No,CIVIL ENGINEERING
31634,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,SOUTH,Andhra Pradesh,Nellore,"3Rd Mile, Nellore Bombay Highway,Gangavaram (Vill. & Post),Kovur (Mandal),Spsr Nellore District",2008,Private,Engineering,www.gist.edu.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,CIVIL ENGINEERING
32140,PRAGATI ENGINEERING COLLEGE,SOUTH,Andhra Pradesh,East Godavari,"1-378, Adb Road, Surampalem,Near Peddapuram,E.G.Dist,A.P.",2001,Private - Autonomous,Engineering,www.pragati.ac.i n,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32174,SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,Anantapur,Rotarypuram (Village)B K Samudram (Mandal)Anantapur (District),2008,Private,Engineering,www.srit.ac.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,CIVIL ENGINEERING
32867,NRI INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,Krishna,"Pothavarappadu Village, Via Nunna, Agiripalli Mandal521212,Krishna Dist,A.P",2008,Private,Engineering,www.nrigroupofc olleg,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32917,DHANEKULA INSTITUTE OF ENGINEERING & TECHNOLOGY,SOUTH,Andhra Pradesh,Krishna,"Dhanekula Institute Of Engineering & TechnologyGanguruPenamaluru MandalamVijayawadaAndhra Pradesh -
 521 139India",2009,Private,Engineering,www.diet.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
33200,ADITYA ENGINEERING COLLEGE,SOUTH,Andhra Pradesh,East Godavari,"Aditya Engineering CollegeAditya Nagar, Adb Road, Surampalem,Gandepalli Mandal, East Godavari District, Pin - 533 437, Andhra Pradesh.",2001,Private - Autonomous,Engineering,www.aec.edu.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32106,PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,SOUTH,Andhra Pradesh,Prakasam,"Nh5, Near Valluramma Temple, Valluru- 523272, Tangutur(M), Prakasam Dist,
 Andhra Pradesh",2008,Private,Engineering,www.pace.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,CIVIL ENGINEERING
32281,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,SOUTH,Andhra Pradesh,Chittoor,"R.V.S Nagar, Tirupathi Road, Chittoor- 517127Andhra Pradesh.",1998,Private,Engineering,www.svcetedu.or g,"Jawaharlal Nehru Technological University, Anantapur",No,-,-,No,CIVIL ENGINEERING
32298,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,SOUTH,Andhra Pradesh,West Godavari,"S.R.K.R.Engineering College,Chinnaamiram,Bhimavaram,West Godavari District,Andhra Pradesh",1992,Private - Autonomous,Engineering,www.srkrec.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,81,No,CIVIL ENGINEERING
32711,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES,SOUTH,Andhra Pradesh,Vishakhapa tnam,"Yendada Village, Rushikonda,Visakhapatnam - 530 045",-,Private,Engineering,www.gvpcdpgc.e du.in/,"Andhra University, Visakhapatnam",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
32140,PRAGATI ENGINEERING COLLEGE,SOUTH,Andhra Pradesh,East Godavari,"1-378, Adb Road, Surampalem,Near Peddapuram,E.G.Dist,A.P.",2001,Private - Autonomous,Engineering,www.pragati.ac.i n,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
32917,DHANEKULA INSTITUTE OF ENGINEERING & TECHNOLOGY,SOUTH,Andhra Pradesh,Krishna,"Dhanekula Institute Of Engineering & TechnologyGanguruPenamaluru MandalamVijayawadaAndhra Pradesh -
 521 139India",2009,Private,Engineering,www.diet.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
32142,LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,SOUTH,Andhra Pradesh,Vizianagara m,Jonnada Village Via 5Th Apsp Battalion Denkada MandalVizianagaram Dist - 535 005,2008,Private,Engineering,www.lendi.org,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
